epoch,acc,loss,val_acc,val_loss
0,0.468000012,1.62221252,0.530000011,1.522622764
1,0.606000014,1.222304883,0.590000011,1.260363507
2,0.666000012,1.036112826,0.630000013,1.175428882
3,0.702000012,0.950350511,0.670000014,1.372460282
4,0.736000012,0.911343568,0.720000012,1.059024355
5,0.766000011,0.835637062,0.310000008,1.936610341
6,0.780000011,0.773570443,0.310000008,5.512261385
7,0.78800001,0.778008463,0.760000011,0.971360879
8,0.808000009,0.708293397,0.310000009,3.878994644
9,0.804000009,0.697051743,0.770000011,0.951494497
10,0.810000009,0.695738409,0.780000012,0.874276057
11,0.818000009,0.652365587,0.770000011,0.929619166
12,0.79800001,0.708853312,0.760000011,0.848686592
13,0.824000009,0.624028029,0.760000011,0.817794693
14,0.834000009,0.604503697,0.78000001,0.821783508
15,0.834000008,0.601275213,0.780000012,0.81083758
16,0.836000008,0.557837336,0.770000011,0.924836525
17,0.834000008,0.629680429,0.770000011,0.792634645
18,0.844000008,0.552431636,0.770000011,0.822940834
19,0.844000008,0.618596241,0.770000011,0.751714219
20,0.850000007,0.548076899,0.770000011,0.77697404
21,0.852000007,0.528385133,0.770000011,0.751845142
22,0.850000008,0.506167141,0.760000011,0.760893022
23,0.854000007,0.549585868,0.79000001,0.819504465
24,0.852000007,0.479761733,0.770000011,0.719864014
25,0.858000007,0.547675916,0.770000011,0.724147575
26,0.858000007,0.48339458,0.640000012,1.121574461
27,0.858000007,0.494889731,0.770000011,0.689656249
28,0.872000006,0.457977215,0.760000011,0.684958678
29,0.864000006,0.466505379,0.78000001,0.752370244
30,0.864000007,0.479011287,0.770000011,0.803994572
31,0.858000007,0.511634748,0.770000011,0.722454774
32,0.882000006,0.419107725,0.770000011,0.687102062
33,0.880000006,0.444365762,0.79000001,0.77441549
34,0.870000007,0.449906311,0.770000011,0.688084181
35,0.864000007,0.486651407,0.78000001,0.654963892
36,0.880000006,0.414447543,0.79000001,0.640170975
37,0.880000006,0.434368183,0.78000001,0.686214985
38,0.882000006,0.473810374,0.770000011,0.66459313
39,0.458000009,1.384314256,0.610000013,1.54732113
40,0.74600001,0.864182563,0.78000001,0.766110396
41,0.860000007,0.539960871,0.78000001,0.65769723
42,0.876000007,0.462008714,0.750000012,1.014110942
43,0.872000006,0.439972691,0.760000011,1.000836988
44,0.860000006,0.539404823,0.78000001,0.6469673
45,0.880000006,0.410566274,0.790000011,0.624565628
46,0.872000006,0.478338305,0.79000001,0.646463092
47,0.886000006,0.402830784,0.320000008,5.270345101
48,0.876000006,0.456549354,0.650000013,1.161050066
49,0.880000007,0.398532407,0.78000001,0.630098141
