epoch,acc,loss,val_acc,val_loss,
0,0.59375,0.802964431,0.625,0.633754814,
1,0.625,0.640032491,0.625,0.541191559,
2,0.7,0.554992157,0.8,0.484422273,
3,0.725,0.506271598,0.8375,0.458465626,
4,0.75,0.469140178,0.7875,0.43002523,
5,0.79375,0.442915339,0.7625,0.406873067,
6,0.8,0.417557702,0.7625,0.391252641,
7,0.8125,0.389345364,0.7625,0.385242084,
8,0.8375,0.372750096,0.775,0.384349124,
9,0.84375,0.346810823,0.8125,0.385824027,1
10,0.85625,0.319233309,0.8125,0.389098161,1
11,0.89375,0.29306272,0.775,0.389464057,1
12,0.89375,0.271756134,0.85,0.382639592,1
13,0.90625,0.244523187,0.8625,0.376424557,1
14,0.925,0.232360342,0.9,0.380276729,1
15,0.9125,0.215702944,0.9,0.317904014,1
16,0.925,0.207646627,0.875,0.398536874,1
17,0.9375,0.198960772,0.9,0.419593453,1
18,0.94375,0.17260336,0.9,0.420225976,1
19,0.95,0.155307936,0.8125,0.462792871,1
20,0.9625,0.149588161,0.95,0.423334457,1
21,0.94375,0.10908952,0.9375,0.39288598,1
22,0.95625,0.113339285,0.825,0.403805187,1
23,0.95625,0.130487598,0.9375,0.436610779,1
24,0.95,0.101068231,0.9375,0.31873958,1
25,0.975,0.097378077,0.9125,0.24600951,1
26,0.98125,0.059119149,0.95,0.323124737,1
27,0.9625,0.129924875,0.9375,0.286718742,1
28,0.96875,0.07358095,0.825,0.452645637,1
29,0.96875,0.061445003,0.95,0.274581517,1
30,0.9875,0.035012235,0.9625,0.259685071,1
31,0.975,0.076954552,0.9625,0.268745728,1
32,0.975,0.086579032,0.8625,0.406138799,1
33,0.9875,0.067073703,0.9625,0.219968091,1
34,0.99375,0.02793859,0.9625,0.224399073,1
35,0.99375,0.029148796,0.85,0.416348567,1
36,0.98125,0.057814967,0.9375,0.249998103,1
37,0.98125,0.092796424,0.9625,0.191501169,1
38,0.99375,0.032754601,0.9,0.507130698,1
39,0.9875,0.065524977,0.9375,0.454791997,1
40,0.99375,0.023431823,0.9125,0.190622355,1
41,0.99375,0.014464908,0.9375,0.540828626,1
42,0.975,0.074606838,0.95,0.206753056,1
43,0.98125,0.054386018,0.9375,0.241190423,1
44,0.98125,0.060831296,0.925,0.298790915,1
45,0.99375,0.010419927,0.9375,0.170368096,1
46,0.99375,0.019554981,0.925,0.374446779,1
47,0.9875,0.047799454,0.9125,0.238647786,1
48,0.9875,0.077036845,0.95,0.424641025,1
49,0.9875,0.043369778,0.85,0.786488281,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
,,,,,1
